"Goal","Creative/Productive",""
"Goal","Critical/Responsive",""
"Goal","Cultural/Historical",""
"Strand","Dance",""
"Strand","Drama",""
"Strand","Music",""
"Strand","Visual Art",""
"Outcome","CP6.1","Create dance compositions that express ideas about identity and how it is influenced (e.g., factors such as pop culture, cultural heritage, peer groups, personal and family interests, gender)."
"Outcome","CP6.2","Investigate and manipulate elements of dance and principles of composition including repetition and contrast."
"Outcome","CP6.3","Shape dance compositions using various choreographic forms (e.g., ABA)."
"Outcome","CP6.4","Initiate and develop roles in selected drama forms (e.g., contextual, improv, puppetry, radio drama)."
"Outcome","CP6.5","Select and use focus, tension, conflict, and symbol to convey ideas."
"Outcome","CP6.6","Collaborate on a drama that expresses ideas about identity and how it is influenced (e.g., factors such as pop culture, cultural heritage, peer groups, personal and family interests, gender)."
"Outcome","CP6.7","Demonstrate increased skills and abilities in the use of voice and instruments."
"Outcome","CP6.8","Investigate and manipulate elements of music and principles of composition including repetition and variety."
"Outcome","CP6.9","Create sound compositions that explore relationships between music and identity (e.g., influencing factors such as pop culture, cultural heritage, peer groups, personal and family interests, gender)."
"Outcome","CP6.10","Create visual art works that express ideas about identity and how it is influenced (e.g., factors such as pop culture, cultural heritage, peer groups, personal and family interests, gender)."
"Outcome","CP6.11","Investigate and use various visual art forms, images, and art-making processes to express ideas about identity."
"Outcome","CP6.12","Demonstrate increased skills and problem-solving abilities in a variety of visual art media."
"Outcome","CR6.1","Create personal responses to a variety of arts expressions (e.g., respond to music using poetry, or respond to visual art using music)."
"Outcome","CR6.2","Investigate and identify ways that the arts can express ideas about identity."
"Outcome","CR6.3","Examine arts expressions and artists of various times and places."
"Outcome","CH6.1","Investigate how personal, cultural, or regional identity may be reflected in arts expressions."
"Outcome","CH6.2","Identify ways that First Nations, Métis, and Inuit artists express cultural identity in contemporary work."
"Outcome","CH6.3","Investigate arts expressions from a range of cultures and countries, and analyze how cultural identity is reflected in the work."
